,KE557,KE558,KE521,FA501,MM556,FA508,BMB528,FY528,BMB530,BMB504,FA515,FA511,SU520,KE505,FA503,SU517,FA507,BB555,FA505,FA504,SU511,SU518,FA506,FA514,SU519,SFAB20001U,SFAB20002U,SFAB20004U,SFAB20006U,SFAB20023U,SFAB20025U,SFAB20027U,SFAB20029U,SFAB20012U,SFAB20013U,SFAB20017U,SFAB20015U,SFAB20033U,SFAB20035U,SFAB20031U,SFAB23001U,SFAB20008U,SFAB20010U,SFABIL117U,SFAB20019U,
FA506,0.2177,0.1797,0.5995,0.3194,0.4802,0.4637,0.4677,0.6393,0.5347,0.5579,0.2547,0.3055,0.3957,0.6922,0.4393,0.4756,0.474,0.1848,0.6698,0.3715,0.2722,0.336,1.0,0.2831,0.5436,0.0254,0.063,0.0776,0.0946,0.0676,0.0456,0.0847,0.1193,0.0659,0.0734,0.0524,0.0942,0.0451,0.045,0.0299,0.0854,0.0557,0.0415,0.0663,0.0429,0.0557
FA514,0.321,0.245,0.4286,0.3872,0.3843,0.3997,0.3912,0.3814,0.3458,0.2651,0.3769,0.4291,0.3882,0.3073,0.4579,0.3574,0.4028,0.2318,0.3567,0.5256,0.2863,0.2955,0.2831,1.0,0.2804,0.0793,0.0744,0.0805,0.0754,0.1254,0.0839,0.1245,0.1398,0.102,0.0725,0.0805,0.1138,0.091,0.0806,0.136,0.1226,0.0825,0.1248,0.0935,0.0867,0.1505
SU519,0.2972,0.2649,0.4476,0.3918,0.4101,0.4665,0.3958,0.4603,0.4262,0.3299,0.3013,0.2971,0.5446,0.3701,0.4172,0.5502,0.4209,0.2368,0.4209,0.357,0.3035,0.4625,0.5436,0.2804,1.0,0.0463,0.0931,0.1022,0.0723,0.1039,0.0906,0.1603,0.1158,0.1158,0.1707,0.0611,0.1013,0.0953,0.0979,0.0492,0.3014,0.1213,0.0683,0.3137,0.108,0.0819
SFAB20001U,0.0674,0.0631,0.0462,0.0778,0.0496,0.1145,0.0595,0.0224,0.0491,0.032,0.0647,0.0951,0.0456,0.0231,0.111,0.0286,0.0492,0.051,0.0585,0.134,0.0862,0.0368,0.0254,0.0793,0.0463,1.0,0.1516,0.107,0.1823,0.0864,0.0769,0.0934,0.0787,0.0794,0.1024,0.1098,0.0581,0.0742,0.0895,0.1771,0.1012,0.11,0.1158,0.0971,0.0693,0.1661
SFAB20002U,0.1935,0.2137,0.1421,0.1447,0.0811,0.0957,0.1037,0.0631,0.1024,0.053,0.1628,0.1637,0.1266,0.0719,0.127,0.0852,0.0849,0.0805,0.0954,0.1341,0.071,0.0982,0.063,0.0744,0.0931,0.1516,1.0,0.1718,0.3016,0.29,0.242,0.1362,0.2699,0.0987,0.1525,0.2151,0.158,0.0948,0.1594,0.1229,0.0865,0.0907,0.127,0.079,0.0734,0.1299
SFAB20004U,0.1264,0.1281,0.1037,0.1282,0.1099,0.1749,0.133,0.1255,0.2038,0.1759,0.1154,0.0868,0.1654,0.0438,0.081,0.1232,0.0894,0.1027,0.0972,0.1124,0.082,0.1468,0.0776,0.0805,0.1022,0.107,0.1718,1.0,0.1288,0.1039,0.1431,0.3554,0.1194,0.0801,0.246,0.1378,0.1209,0.0817,0.2009,0.1452,0.1246,0.0884,0.0868,0.1375,0.0637,0.0963
SFAB20006U,0.1821,0.3085,0.109,0.0859,0.0896,0.0962,0.0578,0.0576,0.0758,0.0433,0.2375,0.1454,0.078,0.1465,0.0966,0.0521,0.0828,0.0679,0.1017,0.0867,0.051,0.058,0.0946,0.0754,0.0723,0.1823,0.3016,0.1288,1.0,0.3804,0.1156,0.1024,0.5302,0.0513,0.1411,0.3026,0.2148,0.0503,0.1123,0.0939,0.0641,0.0961,0.1815,0.0677,0.0706,0.1222
SFAB20023U,0.21,0.1992,0.1128,0.1067,0.1995,0.1322,0.0964,0.1157,0.0815,0.0433,0.3442,0.1588,0.086,0.0814,0.1234,0.0529,0.0946,0.0731,0.0856,0.113,0.0764,0.0568,0.0676,0.1254,0.1039,0.0864,0.29,0.1039,0.3804,1.0,0.2095,0.1915,0.2864,0.0886,0.129,0.5522,0.1439,0.0935,0.2048,0.1229,0.1103,0.1147,0.2042,0.1413,0.0557,0.1601
SFAB20025U,0.1229,0.1329,0.0817,0.2279,0.1327,0.1272,0.1517,0.0703,0.0707,0.0377,0.1236,0.1542,0.0876,0.032,0.1132,0.0612,0.2306,0.0775,0.0637,0.1153,0.0798,0.0575,0.0456,0.0839,0.0906,0.0769,0.242,0.1431,0.1156,0.2095,1.0,0.2179,0.1555,0.1119,0.12,0.1247,0.1099,0.2228,0.5226,0.1947,0.1157,0.1201,0.1423,0.1303,0.0839,0.1849
SFAB20027U,0.1466,0.137,0.0898,0.1379,0.1111,0.217,0.1125,0.0923,0.1341,0.1308,0.1315,0.0891,0.1492,0.05,0.1181,0.0961,0.1264,0.1676,0.0942,0.1374,0.1338,0.1114,0.0847,0.1245,0.1603,0.0934,0.1362,0.3554,0.1024,0.1915,0.2179,1.0,0.1526,0.1426,0.2116,0.1258,0.1641,0.1739,0.3284,0.1621,0.2573,0.1386,0.1286,0.2635,0.1159,0.1758
